id;lenpayload;lsnr;rssi;latitude;longitude;flag
178;10;9.25;-36.0;38,1149;-8,785463;0
179;16;9.5;-41.0;38,114883;-8,785453;0
180;10;9.25;-38.0;38,11488;-8,785474;0
181;16;9.25;-37.0;38,11497;-8,785461;0
182;10;7.25;-41.0;38,11491;-8,785474;0
183;16;8.25;-38.0;38,114826;-8,785463;2
184;10;7.0;-41.0;38,114902;-8,785488;0
185;16;7.25;-38.0;38,114857;-8,785526;0
186;16;7.0;-41.0;38,114906;-8,785516;2
187;10;9.75;-41.0;38,114944;-8,785459;0
188;10;9.25;-41.0;38,11493;-8,785444;0
189;16;9.75;-51.0;38,114918;-8,785461;2
190;10;7.75;-45.0;38,1149;-8,785463;0
191;10;10.75;-36.0;38,114895;-8,785496;0
192;10;7.0;-31.0;38,114895;-8,785496;0
193;10;8.5;-45.0;38,114895;-8,785496;0
194;10;10.0;-44.0;38,114895;-8,785496;0
195;10;5.75;-87.0;38,114895;-8,785496;2
196;10;9.25;-38.0;38,114895;-8,785496;0
197;16;7.5;-47.0;38,114895;-8,785496;2
198;16;5.5;-89.0;38,114895;-8,785496;2
199;16;10.0;-41.0;38,114895;-8,785496;0
200;10;9.0;-45.0;38,114895;-8,785496;0
201;10;9.25;-44.0;38,114895;-8,785496;0
202;10;7.5;-44.0;38,114895;-8,785496;0
203;10;7.5;-78.0;38,114895;-8,785496;2
204;16;9.5;-44.0;38,114895;-8,785496;0
205;16;11.0;-43.0;38,114895;-8,785496;2
206;16;5.5;-86.0;38,114895;-8,785496;2
207;10;9.5;-41.0;38,114895;-8,785496;0
208;10;10.25;-44.0;38,114895;-8,785496;0
209;10;4.5;-86.0;38,114895;-8,785496;2
210;16;7.25;-49.0;38,114895;-8,785496;2
211;16;10.25;-47.0;38,114895;-8,785496;2
212;16;7.5;-44.0;38,114895;-8,785496;2
213;10;7.75;-81.0;38,114895;-8,785496;2
214;10;9.5;-38.0;38,114895;-8,785496;0
215;10;8.25;-45.0;38,114895;-8,785496;0
216;10;6.0;-86.0;38,114895;-8,785496;2
217;10;10.0;-37.0;38,114895;-8,785496;0
218;10;9.25;-31.0;38,114895;-8,785496;0
219;10;7.25;-38.0;38,114895;-8,785496;0
220;16;7.0;-47.0;39,462276;-8,473784;0
221;10;-1.0;-91.0;39,462276;-8,473784;0
222;10;10.5;-47.0;39,462276;-8,473784;0
223;10;5.0;-87.0;39,462276;-8,473784;0
224;10;8.0;-51.0;39,462276;-8,473784;0
225;16;9.5;-41.0;39,462276;-8,473784;0
226;16;8.25;-47.0;39,462276;-8,473784;0
227;10;9.25;-39.0;39,462276;-8,473784;0
228;10;7.5;-49.0;39,462276;-8,473784;0
229;16;5.75;-90.0;39,462276;-8,473784;0
230;16;9.25;-47.0;39,462276;-8,473784;0
231;10;9.75;-11.0;39,462276;-8,473784;0
232;16;10.0;-3.0;39,462276;-8,473784;0
233;10;9.75;-9.0;39,462276;-8,473784;0
234;10;8.75;-7.0;39,462276;-8,473784;0
235;16;10.25;-11.0;39,462276;-8,473784;0
236;16;10.25;-11.0;39,462276;-8,473784;0
237;10;6.75;-6.0;39,462276;-8,473784;0
238;16;9.25;-10.0;39,462276;-8,473784;0
239;16;9.5;-11.0;39,462276;-8,473784;0
240;10;7.5;-11.0;39,462276;-8,473784;0
241;16;10.25;-39.0;39,462276;-8,473784;0
242;10;8.75;-8.0;39,462276;-8,473784;0
243;10;9.25;-42.0;39,462276;-8,473784;0
244;16;9.75;-8.0;39,462276;-8,473784;0
245;10;9.5;-14.0;39,462276;-8,473784;0
246;10;6.5;-7.0;39,462276;-8,473784;0
247;10;9.75;-43.0;39,462276;-8,473784;0
248;16;9.0;-8.0;39,462276;-8,473784;0
249;10;9.25;-15.0;39,462276;-8,473784;0
250;10;10.25;-9.0;39,462276;-8,473784;0
251;10;10.25;-41.0;39,462276;-8,473784;0
252;16;9.75;-9.0;39,462276;-8,473784;0
253;10;6.5;-7.0;39,462276;-8,473784;0
254;10;10.5;-47.0;39,462276;-8,473784;0
255;16;9.25;-7.0;39,462276;-8,473784;0
256;10;9.25;-14.0;39,462276;-8,473784;0
257;10;7.0;-8.0;39,462276;-8,473784;0
258;10;9.25;-50.0;39,462276;-8,473784;0
259;16;9.25;-8.0;39,462276;-8,473784;0
260;16;9.5;-15.0;39,462276;-8,473784;0
261;10;9.25;-8.0;39,462276;-8,473784;0
262;16;10.0;-43.0;39,462276;-8,473784;0
263;16;6.75;-15.0;39,462276;-8,473784;0
264;16;8.75;-8.0;39,462276;-8,473784;0
265;10;11.0;-15.0;39,462276;-8,473784;0
266;16;10.5;-49.0;39,462276;-8,473784;0
267;10;9.0;-44.0;39,462276;-8,473784;0
268;16;8.75;-8.0;39,462276;-8,473784;0
269;10;9.0;-8.0;39,462276;-8,473784;0
270;16;7.25;-44.0;39,462276;-8,473784;0
271;16;7.25;-6.0;39,462276;-8,473784;0
272;10;9.0;-12.0;39,462276;-8,473784;0
273;10;9.25;-51.0;39,462276;-8,473784;0
274;10;10.5;-9.0;39,462276;-8,473784;0
275;16;10.75;-9.0;39,462276;-8,473784;0
276;10;9.5;-14.0;39,462276;-8,473784;0
277;10;9.5;-45.0;39,462276;-8,473784;0
278;10;9.75;-7.0;39,462276;-8,473784;0
279;16;10.5;-8.0;39,462276;-8,473784;0
280;10;9.5;-14.0;39,462276;-8,473784;0
281;10;9.0;-43.0;39,462276;-8,473784;0
282;10;10.0;-7.0;39,462276;-8,473784;0
283;16;11.25;-9.0;39,462276;-8,473784;0
284;16;9.0;-15.0;39,462276;-8,473784;0
285;10;9.5;-47.0;39,462276;-8,473784;0
286;10;9.75;-9.0;39,462276;-8,473784;0
287;16;10.0;-15.0;39,462276;-8,473784;0
288;16;9.75;-9.0;39,462276;-8,473784;0
289;10;10.0;-14.0;39,462276;-8,473784;0
290;10;10.0;-43.0;39,462276;-8,473784;0
291;10;8.5;-8.0;39,462276;-8,473784;0
292;16;7.25;-8.0;39,462276;-8,473784;0
293;10;10.25;-14.0;39,462276;-8,473784;0
294;16;7.5;-44.0;39,462276;-8,473784;0
295;10;8.75;-7.0;39,462276;-8,473784;0
296;16;9.0;-57.0;39,462276;-8,473784;0
297;16;9.25;-8.0;39,462276;-8,473784;0
298;10;9.25;-14.0;39,462276;-8,473784;0
299;10;9.0;-46.0;39,462276;-8,473784;0
300;16;9.5;-17.0;39,462276;-8,473784;0
301;10;7.25;-21.0;39,462276;-8,473784;0
302;16;10.5;-21.0;39,462276;-8,473784;0
303;10;8.75;-27.0;39,462276;-8,473784;0
304;10;9.75;-20.0;39,462276;-8,473784;0
305;16;6.5;-20.0;39,462276;-8,473784;0
306;10;10.0;-27.0;39,462276;-8,473784;0
307;10;9.0;-17.0;39,462276;-8,473784;0
308;16;10.25;-17.0;39,462276;-8,473784;0
309;10;7.75;-20.0;39,462276;-8,473784;0
310;10;10.5;-32.0;39,462276;-8,473784;0
311;16;9.75;-27.0;39,462276;-8,473784;0
312;10;9.75;-25.0;39,462276;-8,473784;0
313;10;7.0;-29.0;39,462276;-8,473784;0
314;16;10.5;-15.0;39,462276;-8,473784;0
315;10;9.25;-17.0;39,462276;-8,473784;0
316;10;9.25;-13.0;39,462276;-8,473784;0
317;10;8.75;-26.0;39,462276;-8,473784;0
318;10;9.0;-14.0;39,462276;-8,473784;0
319;10;10.25;-29.0;39,462276;-8,473784;0
320;10;7.5;-15.0;39,462276;-8,473784;0
321;10;9.75;-26.0;39,462276;-8,473784;0
322;16;8.0;-34.0;39,462276;-8,473784;0
323;16;9.5;-26.0;39,462276;-8,473784;0
324;16;9.75;-15.0;39,462276;-8,473784;0
325;10;7.25;-25.0;39,462276;-8,473784;0
326;16;11.0;-17.0;39,462276;-8,473784;0
327;16;9.0;-26.0;39,462276;-8,473784;0
328;10;9.0;-14.0;39,462276;-8,473784;0
329;10;8.75;-26.0;39,462276;-8,473784;0
330;16;9.5;-25.0;39,462276;-8,473784;0
331;16;7.5;-23.0;39,462276;-8,473784;0
332;10;10.0;-15.0;39,462276;-8,473784;0
333;10;9.75;-25.0;39,462276;-8,473784;0
334;16;9.5;-32.0;39,462276;-8,473784;0
335;10;7.5;-31.0;39,462276;-8,473784;0
336;16;7.0;-26.0;39,462276;-8,473784;0
337;10;9.75;-15.0;39,462276;-8,473784;0
338;10;8.75;-25.0;39,462276;-8,473784;0
339;10;7.75;-29.0;39,462276;-8,473784;0
340;16;10.25;-33.0;39,462276;-8,473784;0
341;10;9.25;-32.0;39,462276;-8,473784;0
342;10;9.25;-26.0;39,462276;-8,473784;0
343;16;6.25;-31.0;39,462276;-8,473784;0
344;10;9.0;-14.0;39,462276;-8,473784;0
345;10;9.75;-33.0;39,462276;-8,473784;0
346;10;8.5;-26.0;39,462276;-8,473784;0
347;16;10.75;-35.0;39,462276;-8,473784;0
348;16;7.25;-13.0;39,462276;-8,473784;0
349;10;7.0;-31.0;39,462276;-8,473784;0
350;16;7.75;-13.0;39,462276;-8,473784;0
351;10;10.5;-29.0;39,462276;-8,473784;0
352;16;9.5;-33.0;39,462276;-8,473784;0
353;10;9.75;-14.0;39,462276;-8,473784;0
354;16;9.5;-26.0;39,462276;-8,473784;0
355;16;6.5;-31.0;39,462276;-8,473784;0
356;10;7.25;-31.0;39,462276;-8,473784;0
357;16;8.5;-24.0;39,462276;-8,473784;0
358;10;9.0;-27.0;39,462276;-8,473784;0
359;16;9.25;-32.0;39,462276;-8,473784;0
360;10;10.25;-15.0;39,462276;-8,473784;0
361;10;10.5;-33.0;39,462276;-8,473784;0
362;10;9.25;-26.0;39,462276;-8,473784;0
363;16;9.0;-32.0;39,462276;-8,473784;0
364;10;9.75;-14.0;39,462276;-8,473784;0
365;10;7.5;-30.0;39,462276;-8,473784;0
366;10;9.5;-27.0;39,462276;-8,473784;0
367;16;9.25;-33.0;39,462276;-8,473784;0
368;10;7.25;-13.0;39,462276;-8,473784;0
369;10;10.0;-33.0;39,462276;-8,473784;0
370;16;10.25;-33.0;39,462276;-8,473784;0
371;16;7.0;-13.0;39,462276;-8,473784;0
372;10;9.5;-35.0;39,462276;-8,473784;0
373;16;10.5;-15.0;39,462276;-8,473784;0
374;10;11.0;-27.0;39,462276;-8,473784;0
375;16;7.25;-35.0;39,462276;-8,473784;0
376;10;9.5;-12.0;39,462276;-8,473784;0
377;10;9.25;-35.0;39,462276;-8,473784;0
378;16;8.5;-25.0;39,462276;-8,473784;0
379;16;8.0;-35.0;39,462276;-8,473784;0
380;10;9.75;-12.0;39,462276;-8,473784;0
381;10;9.5;-35.0;39,462276;-8,473784;0
382;16;10.25;-29.0;39,462276;-8,473784;0
383;10;9.5;-25.0;39,462276;-8,473784;0
384;16;6.75;-33.0;39,462276;-8,473784;0
385;10;9.5;-13.0;39,462276;-8,473784;0
386;16;10.0;-37.0;39,462276;-8,473784;0
387;10;9.5;-14.0;39,462276;-8,473784;0
388;10;6.75;-35.0;39,462276;-8,473784;0
389;10;7.5;-23.0;39,462276;-8,473784;0
390;16;8.25;-27.0;39,462276;-8,473784;0
391;10;9.0;-13.0;39,462276;-8,473784;0
392;10;9.25;-31.0;39,462276;-8,473784;0
393;16;9.5;-35.0;39,462276;-8,473784;0
394;10;10.75;-35.0;39,462276;-8,473784;0
395;10;10.0;-10.0;39,462276;-8,473784;0
396;10;7.0;-33.0;39,462276;-8,473784;0
397;10;9.5;-11.0;39,462276;-8,473784;0
398;10;9.0;-13.0;39,462276;-8,473784;0
399;10;9.75;-14.0;39,462276;-8,473784;0
400;16;9.25;-8.0;39,462276;-8,473784;0
401;16;7.75;-8.0;39,462276;-8,473784;0
402;10;7.25;-9.0;39,462276;-8,473784;0
403;10;11.75;-9.0;39,462276;-8,473784;0
404;16;10.0;-11.0;39,462276;-8,473784;0
405;16;7.0;-6.0;39,462276;-8,473784;0
406;10;8.75;-8.0;39,462276;-8,473784;0
407;10;9.75;-11.0;39,462276;-8,473784;0
408;10;7.75;-7.0;39,462276;-8,473784;0
409;10;7.25;-7.0;39,462276;-8,473784;0
410;10;10.25;-20.0;39,462276;-8,473784;0
411;16;7.75;-25.0;39,462276;-8,473784;0
412;10;9.25;-32.0;39,462276;-8,473784;0
413;10;9.5;-20.0;39,462276;-8,473784;0
414;10;8.75;-15.0;39,462276;-8,473784;0
415;10;10.0;-13.0;39,462276;-8,473784;0
416;16;0.5;-95.0;39,462276;-8,473784;0
417;10;1.0;-93.0;39,462276;-8,473784;0
418;10;9.25;-14.0;39,462276;-8,473784;0
419;10;8.0;-13.0;39,462276;-8,473784;0
420;10;-7.75;-99.0;39,462276;-8,473784;0
421;10;7.5;-25.0;39,462276;-8,473784;0
422;16;-1.5;-97.0;39,462276;-8,473784;0
423;10;9.5;-26.0;39,462276;-8,473784;0
424;10;-0.5;-96.0;39,462276;-8,473784;0
425;16;10.5;-27.0;39,462276;-8,473784;0
426;10;10.0;-27.0;39,462276;-8,473784;0
427;16;-3.25;-98.0;39,462276;-8,473784;0
428;10;-7.5;-98.0;39,462276;-8,473784;0
429;16;10.0;-29.0;39,462276;-8,473784;0
430;16;10.0;-29.0;39,462276;-8,473784;0
431;10;7.0;-25.0;39,462276;-8,473784;0
432;10;9.75;-29.0;39,462276;-8,473784;0
433;16;1.0;-92.0;39,462276;-8,473784;0
434;10;0.25;-93.0;39,462276;-8,473784;0
435;10;-0.75;-97.0;39,462276;-8,473784;0
436;16;6.25;-27.0;39,462276;-8,473784;0
437;10;1.75;-92.0;39,462276;-8,473784;0
