id, lenpayload,lsnr,rssi, flag
366,10,9.5,-27.0,0
367,16,9.25,-33.0,0
368,10,7.25,-13.0,0
369,10,10.0,-33.0,0
370,16,10.25,-33.0,0
371,16,7.0,-13.0,0
372,10,9.5,-35.0,0
373,16,10.5,-15.0,0
374,10,11.0,-27.0,0
375,16,7.25,-35.0,0
376,10,9.5,-12.0,0
377,10,9.25,-35.0,0
378,16,8.5,-25.0,0
379,16,8.0,-35.0,0
380,10,9.75,-12.0,0
381,10,9.5,-35.0,0
382,16,10.25,-29.0,0
383,10,9.5,-25.0,0
384,16,6.75,-33.0,0
385,10,9.5,-13.0,0
386,16,10.0,-37.0,0
387,10,9.5,-14.0,0
388,10,6.75,-35.0,0
389,10,7.5,-23.0,0
390,16,8.25,-27.0,0
391,10,9.0,-13.0,0
392,10,9.25,-31.0,0
393,16,9.5,-35.0,0
394,10,10.75,-35.0,0
395,10,10.0,-10.0,0
396,10,7.0,-33.0,0
397,10,9.5,-11.0,0
398,10,9.0,-13.0,0
399,10,9.75,-14.0,0
400,16,9.25,-8.0,0
401,16,7.75,-8.0,0
402,10,7.25,-9.0,0
403,10,11.75,-9.0,0
404,16,10.0,-11.0,0
405,16,7.0,-6.0,0
406,10,8.75,-8.0,0
407,10,9.75,-11.0,0
408,10,7.75,-7.0,0
409,10,7.25,-7.0,0
410,10,10.25,-20.0,0
411,16,7.75,-25.0,0
412,10,9.25,-32.0,0
413,10,9.5,-20.0,0
414,10,8.75,-15.0,0
415,10,10.0,-13.0,0
416,16,0.5,-95.0,0
417,10,1.0,-93.0,0
418,10,9.25,-14.0,0
419,10,8.0,-13.0,0
420,10,-7.75,-99.0,0
421,10,7.5,-25.0,0
422,16,-1.5,-97.0,0
423,10,9.5,-26.0,0
424,10,-0.5,-96.0,0
425,16,10.5,-27.0,0
426,10,10.0,-27.0,0
427,16,-3.25,-98.0,0
428,10,-7.5,-98.0,0
429,16,10.0,-29.0,0
430,16,10.0,-29.0,0
431,10,7.0,-25.0,0
432,10,9.75,-29.0,0
433,16,1.0,-92.0,0
434,10,0.25,-93.0,0
435,10,-0.75,-97.0,0
436,16,6.25,-27.0,0
437,10,1.75,-92.0,0
438,10,-2.5,-96.0,0
439,16,10.0,-25.0,0
440,16,9.0,-25.0,0
441,16,10.0,-29.0,0
442,10,10.0,-27.0,0
443,10,10.0,-27.0,0
444,10,10.75,-29.0,0
445,10,10.5,-29.0,0
446,16,11.5,-27.0,0
447,16,7.75,-25.0,0
448,10,9.25,-26.0,0
449,10,9.5,-29.0,0
450,10,8.0,-27.0,0
451,10,8.0,-26.0,0
452,16,9.75,-31.0,0
453,16,6.75,-27.0,0
454,10,8.5,-26.0,0
455,10,9.25,-26.0,0
456,10,9.5,-27.0,0
457,10,9.5,-27.0,0
458,10,9.0,-25.0,0
459,10,8.75,-30.0,0
460,10,7.25,-32.0,0
461,10,6.75,-42.0,0
462,10,10.5,-33.0,0
463,10,10.0,-33.0,0
464,16,10.25,-35.0,0
465,16,10.0,-29.0,0
466,10,11.25,-33.0,0
467,10,7.75,-30.0,0
468,10,7.25,-31.0,0
469,10,7.75,-30.0,0
470,16,7.75,-30.0,0
471,16,10.0,-31.0,0
472,10,9.0,-30.0,0
473,10,11.0,-30.0,0
474,10,10.25,-30.0,0
475,10,8.75,-30.0,0
476,16,9.75,-32.0,0
477,16,8.25,-29.0,0
478,10,10.0,-30.0,0
479,10,8.5,-28.0,0
480,10,6.5,-29.0,0
481,10,8.25,-30.0,0
482,10,10.25,-33.0,0
483,10,8.5,-30.0,0
484,10,10.25,-32.0,0
485,10,9.75,-30.0,0
486,10,9.0,-31.0,0
487,16,10.0,-31.0,0
488,16,9.5,-30.0,0
489,10,10.5,-32.0,0
490,10,9.25,-29.0,0
491,10,9.25,-27.0,0
492,10,9.5,-31.0,0
493,16,6.75,-29.0,0
494,16,9.25,-27.0,0
495,10,9.75,-29.0,0
496,10,10.0,-30.0,0
497,10,10.5,-29.0,0
498,10,9.5,-29.0,0
